isbn,title,author,number_of_pages,publication_date,language_code,avg_rating
714530034,Alfred Hitchcock and the Making of Psycho,Stephen Rebello,224,1/1/1998,en-GB,3.9
60958022,Five Quarters of the Orange,Joanne Harris,307,6/4/2002,eng,3.85
61214604,Five Quarters of the Orange,Joanne Harris,336,1/2/2007,eng,3.85
60787112,Sleep  Pale Sister,Joanne Harris,396,8/30/2005,en-US,3.28
380815923,Blackberry Wine,Joanne Harris,368,12/23/2003,eng,3.8
60559144,Gentlemen and Players,Joanne Harris,422,1/3/2006,eng,3.91
552998001,Blackberry Wine,Joanne Harris,334,4/1/2001,eng,3.8
385609485,The Lollipop Shoes (Chocolat  #2),Joanne Harris,464,5/2/2007,eng,3.83
385607016,The French Kitchen: A Cookbook,Joanne Harris/Fran Warde,256,11/3/2003,eng,4.09
140193707,Holy Madness: The Shock Tactics Radical Teachings Crazy Wise Adepts Holy Fools Rascal Gurus,Georg Feuerstein/Roger Walsh,320,10/1/1992,eng,3.71
081097052X,The Adventuress,Audrey Niffenegger,144,9/1/2006,eng,3.33
563504838,The Time Traveler's Wife,Audrey Niffenegger/William Hope/Laurel Lefkow,5,8/1/2005,eng,3.97
307344835,La mujer del viajero en el tiempo,Audrey Niffenegger/Silvia Alemany,608,12/6/2005,spa,3.97
375408274,Ralph Ellison: A Biography,Arnold Rampersad,657,4/24/2007,eng,4.15
044653109X,The Collectors (Camel Club  #2),David Baldacci,438,10/18/2006,en-US,4.02
446608890,Saving Faith,David Baldacci,528,9/1/2000,eng,3.88
033041965X,Total Control,David Baldacci,613,8/1/2003,eng,4.08
074328500X,She Got Up Off the Couch: And Other Heroic Acts from Mooreland  Indiana,Haven Kimmel,313,2/1/2007,en-US,4.05
061815955X,Orville: A Dog Story,Haven Kimmel/Robert Andrew Parker,32,9/22/2003,en-US,4.13
7152531,The Solace Of Leaving Early,Haven Kimmel,315,11/3/2003,en-GB,3.79
743247787,The Used World,Haven Kimmel,308,9/18/2007,eng,3.63
743247779,Something Rising,Haven Kimmel,288,4/5/2005,eng,3.61
345321383,Bridge of Birds (The Chronicles of Master Li and Number Ten Ox  #1),Barry Hughart,278,4/12/1985,eng,4.29
893562505,American Film Guide,Frank N. Magill,5,1/1/1983,eng,0
1414306342,Looking for God in Harry Potter,John Granger,234,2/17/2006,eng,4.13
747268037,Shades of Murder (Mitchell and Markby Village  #13),Ann Granger,404,2/1/2001,eng,3.88
141014083,The Complete Maus,Art Spiegelman,296,10/2/2003,eng,4.55
394541553,Maus I: A Survivor's Tale: My Father Bleeds History (Maus  #1),Art Spiegelman,159,11/1/1991,eng,4.34
553380621,Radical Chic & Mau-Mauing the Flak Catchers,Tom Wolfe,144,10/5/1999,eng,3.77
3423118229,Katz und Maus,Günter Grass,178,9/1/1999,ger,3.54
756401100,Sorcery Rising (Fool's Gold  #1),Jude Fisher,528,7/1/2003,en-US,3.56
618258027,The Lord of the Rings: The Two Towers: Visual Companion,Jude Fisher/Viggo Mortensen,72,11/6/2002,eng,4.51
879972165,In the Green Star's Glow (Green Star  #5),Lin Carter,192,1/20/1976,eng,3.51
879971207,By the Light of the Green Star (Green Star  #3),Lin Carter,175,7/16/1974,eng,3.53
618642676,The Lord of the Rings: A Reader's Companion,Wayne G. Hammond/Christina Scull,416,12/27/2005,eng,4.35
618154027,The Lord of the Rings: Official Movie Guide,Brian Sibley,120,11/6/2001,eng,4.39
618346260,The Two Towers (The Lord of the Rings  #2),J.R.R. Tolkien/Peter S. Beagle,322,9/5/2003,eng,4.44
7171994,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,554,11/6/2003,eng,4.53
7116268,The Lord of the Rings: The Return of the King - Visual Companion,Jude Fisher,72,11/6/2003,eng,4.59
425198324,Death's Acre: Inside the Legendary Forensic Lab the Body Farm Where the Dead Do Tell Tales,William M. Bass/Jon Jefferson,320,10/5/2004,eng,4.19
425187713,The Magical Worlds of Lord of the Rings: The Amazing Myths  Legends and Facts Behind the Masterpiece,David Colbert,208,10/1/2002,eng,4.08
1843534754,The Rough Guide to Australia 7,Margo Daly/David Leffman/Anne Dehne/Chris   Scott,1256,10/1/2005,eng,3.93
1843536161,The Rough Guide to Vietnam,Rough Guides/Jan Dodd/Mark Lewis/Ron Emmons,639,10/1/2006,eng,3.89
9570823364,魔戒首部曲：魔戒現身,J.R.R. Tolkien/托爾金/Alan  Lee/朱學恆,608,12/20/2001,zho,4.36
874808006,A Gateway to Sindarin: A Grammar of an Elvish Language from J.R.R. Tolkien's Lord of the Rings,David Salo,438,11/8/2004,en-US,3.73
618574972,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,508,6/1/2005,en-US,4.53
425204669,The Laughing Corpse (Anita Blake  Vampire Hunter  #2),Laurell K. Hamilton,301,8/2/2005,en-US,4.12
312975732,What the Corpse Revealed,Hugh    Miller,320,12/15/2000,eng,3.79
738207713,Corpse: Nature  Forensics  and the Struggle to Pinpoint Time of Death,Jessica Snyder Sachs,270,10/17/2002,eng,3.93
553574639,The Main Corpse (A Goldy Bear Culinary Mystery #6),Diane Mott Davidson,384,7/1/1997,en-US,3.86
9570823372,魔戒二部曲：雙城奇謀,J.R.R. Tolkien/托爾金/Alan  Lee/朱學恆,467,12/20/2001,zho,4.44
684836270,Exquisite Corpse,Poppy Z. Brite,240,8/20/1997,eng,3.75
563536594,The Return of the King (The Lord of the Rings  #3),Brian Sibley/J.R.R. Tolkien,1,3/4/2002,eng,4.35
618574948,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,506,6/1/2004,eng,4.36
7144083,The Lord of the Rings / The Hobbit,J.R.R. Tolkien,1600,10/7/2002,eng,4.59
451452615,Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings,The Harvard Lampoon/Henry N. Beard/Douglas C. Kenney,149,7/1/1993,eng,3.13
061808357X,The Return of the Shadow: The History of The Lord of the Rings  Part One (The History of Middle-Earth  #6),J.R.R. Tolkien/Christopher Tolkien,512,9/1/2000,eng,4.03
2266118013,Les Deux Tours (Le Seigneur des Anneaux  #2),J.R.R. Tolkien/Francis Ledoux,471,10/8/2001,fre,4.44
563494859,The Lord of the Rings,J.R.R. Tolkien/Brian Sibley/Michael Bakewell/Stephen  Oliver/Ian Holm/Michael Hordern/Robert Stephens/John Le Mesurier/Peter Woodthorpe/Gerard  Murphy/Hugh Dickson/Peter Vaughan/Peter Howell,15,10/6/2003,eng,4.5
965307794,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,440,1/1/2001,eng,4.53
316706000,The Ice Storm,Rick Moody,288,4/10/2002,eng,3.66
316013277,The Diviners,Rick Moody,592,1/2/2007,eng,3.03
316166340,Right Livelihoods: Three Novellas,Rick Moody,240,6/1/2007,eng,3.31
316578991,Black Veil: A Memoir with Digressions,Rick Moody,336,5/6/2002,eng,3.07
571200613,Garden State,Rick Moody,212,8/19/2002,eng,3.07
618037667,The Lord of the Rings Millennium Edition Boxed Set (The Lord of the Rings  #1-3),J.R.R. Tolkien,1472,10/10/1999,eng,4.5
1841157481,The Twenty-Seventh City,Jonathan Franzen,528,5/1/2003,en-GB,3.12
765304090,Stork Naked (Xanth  #30),Piers Anthony,304,10/31/2006,en-US,3.88
765343118,Pet Peeve (Xanth #29),Piers Anthony,384,10/1/2006,en-US,3.86
812574990,Up in a Heaval (Xanth #26),Piers Anthony,342,10/19/2003,eng,3.83
812534867,Roc and a Hard Place (Xanth #19),Piers Anthony,344,10/15/1996,en-US,3.75
812574745,Swell Foop (Xanth #25),Piers Anthony,384,10/13/2002,eng,3.78
727840010,Being a Green Mother (Incarnations of Immortality  #5),Piers Anthony,400,10/26/1989,eng,3.96
380759500,Firefly,Piers Anthony,466,3/1/1992,eng,3.25
812555104,Yon Ill Wind (Xanth #20),Piers Anthony,340,10/15/1997,eng,3.76
441864619,Vision of Tarot (Tarot  #2),Piers Anthony,260,7/15/1987,en-US,3.47
345305183,On a Pale Horse,Piers Anthony,325,9/12/1984,eng,4.13
812574966,Vale of the Vole (Xanth #10),Piers Anthony,304,3/15/2000,eng,3.61
812574737,The Dastard (Xanth #24),Piers Anthony,384,10/14/2001,eng,3.81
812534832,Demons Don't Dream (Xanth #16),Piers Anthony,352,2/15/1994,en-US,3.8
380759497,The Color of Her Panties (Xanth #15),Piers Anthony,342,9/1/1992,eng,3.67
812555112,Faun & Games (Xanth #21),Piers Anthony,352,10/15/1997,eng,3.76
812534840,Harpy Thyme (Xanth #17),Piers Anthony,352,2/15/1995,en-US,3.72
812534859,Geis of the Gargoyle (Xanth #18),Piers Anthony,342,10/15/1995,en-US,3.71
517122332,Three Complete Xanth Novels (Xanth  #1-3),Piers Anthony,774,2/11/1995,en-GB,4.06
441294707,God of Tarot (Tarot  #1),Piers Anthony,288,3/1/1987,en-US,3.45
441225659,Faith of Tarot (Tarot  #3),Piers Anthony,304,4/15/1987,eng,3.49
441845630,Unicorn Point (Apprentice Adept #6),Piers Anthony,337,1/1/1990,eng,3.8
441317480,Hard Sell,Piers Anthony,268,5/1/1993,eng,3.38
552097365,Var the Stick (Battle Circle  #2),Piers Anthony,172,3/21/1975,eng,3.76
034545328X,Xanth: The Quest for Magic (Xanth  #1-3),Piers Anthony,784,10/29/2002,en-US,4.06
441444253,Killobyte,Piers Anthony,312,1/1/1994,en-US,3.56
441251269,Fractal Mode (Mode  #2),Piers Anthony,344,12/1/1992,eng,3.64
812531140,Anthonology,Piers Anthony,384,4/15/1986,eng,3.66
385085338,I Maccabees,Jonathan  A. Goldstein/Anonymous,592,6/16/1976,eng,3.96
385048645,II Maccabees,Anonymous/Jonathan  A. Goldstein,595,10/11/1983,eng,4.04
380759489,Question Quest (Xanth #14),Piers Anthony,368,10/1/1991,en-US,3.71
380000369,Rings of Ice,Piers Anthony,191,11/1/1987,eng,3.34
312858116,Shame of Man (Geodyssey  #2),Piers Anthony,380,10/1/1994,eng,3.84
345317572,Magic Kingdom for Sale—Sold! (Magic Kingdom of Landover #1),Terry Brooks,324,3/12/1986,eng,3.89
345484088,Armageddon's Children (Genesis of Shannara  #1),Terry Brooks,371,9/30/2006,eng,4.1
345451139,Straken (High Druid of Shannara  #3),Terry Brooks,384,8/15/2006,eng,4.04
034543577X,Tanequil (High Druid of Shannara  #2),Terry Brooks,357,8/30/2005,eng,3.98
345492862,The Voyage of the Jerle Shannara Trilogy (Voyage of the Jerle Shannara  #1-3),Terry Brooks,1248,11/14/2006,eng,4.27
345465547,The Heritage of Shannara (Heritage of Shannara  #1-4),Terry Brooks,1238,8/26/2003,eng,4.29
345483898,Jarka Ruus (High Druid of Shannara  #1),Terry Brooks,416,7/26/2005,eng,3.97
743209516,Ilse Witch (Voyage of the Jerle Shannara #1),Terry Brooks,464,10/2/2000,eng,3.96
345396537,First King of Shannara (The Original Shannara Trilogy #0),Terry Brooks,435,1/29/1997,eng,3.96
1857238273,The Elf Queen of Shannara (Heritage of Shannara  #3),Terry Brooks,416,3/4/1998,eng,4.04
345461452,The Druids' Keep (The Sword of Shannara  #2),Terry Brooks,240,6/3/2003,eng,4.16
345285549,The Elfstones of Shannara (The Original Shannara Trilogy #2),Terry Brooks,564,10/10/2000,eng,3.97
345461460,In the Shadow of the Warlock Lord (The Sword of Shannara  #1),Terry Brooks,240,8/5/2009,eng,4.06
300082401,Ferdydurke,Witold Gombrowicz/Danuta Borchardt,320,8/11/2000,eng,3.86
802151590,Cosmos and Pornografia: Two Novels,Witold Gombrowicz/Alastair Hamilton/Eric Mosbacher,362,3/23/1994,eng,4.12
300108486,Cosmos,Witold Gombrowicz/Danuta Borchardt,208,10/10/2005,eng,4.03
097639507X,Bacacay,Witold Gombrowicz/Bill Johnston,275,5/1/2006,eng,3.94
1932416064,McSweeney's #12,Dave Eggers/Roddy Doyle/McSweeney's Publishing,273,12/1/2003,eng,3.87
679733760,A Midwife's Tale: The Life of Martha Ballard  Based on Her Diary  1785-1812,Laurel Thatcher Ulrich,444,12/22/1991,eng,4.01
006440630X,The Midwife's Apprentice,Karen Cushman,128,8/16/1996,eng,3.72
1587612216,Heart & Hands: A Midwife's Guide to Pregnancy & Birth,Elizabeth  Davis/Suzanne Arms,312,11/1/2004,eng,4.37
1905177046,A Midwife's Story,Sheryl Feldman/Penny Armstrong,194,4/1/2007,eng,4.07
385335547,The Midwife's Tale,Gretchen Moran Laskas,256,3/2/2004,eng,3.83
763726710,Varney's Pocket Midwife,Jan M. Kriebs/Carolyn L. Gegor,616,1/1/2005,eng,4.06
1932416773,McSweeney's #24,Dave Eggers/Christopher R. Howard/Jonathan Ames/Joe Meno/Eric Hanson,300,5/28/2007,eng,3.8
810111136,Billy Budd  Sailor and Other Uncompleted Writings,Herman Melville,1016,12/15/2007,eng,3.11
226321320,Billy Budd  Sailor,Herman Melville/Harrison Hayford/Merton M. Sealts Jr.,230,9/1/2001,eng,3.12
1416523723,Billy Budd  Sailor,Herman Melville,160,8/1/2006,eng,3.12
60539259,The Outsider,Richard Wright,672,7/29/2003,en-US,4.16
006083756X,Native Son,Richard Wright,504,8/2/2005,eng,3.99
940450674,Later Works: Black Boy (American Hunger) / The Outsider,Richard Wright/Arnold Rampersad,887,10/1/1991,eng,4.34
451528921,Cyrano de Bergerac,Edmond Rostand/Eteel Lawson/Lowell Bair,240,8/5/2003,eng,4.06
1854591177,Cyrano de Bergerac,Edmond Rostand/Anthony Burgess,192,9/1/2003,eng,4.06
374525315,The Inferno of Dante: A New Verse Translation (Bilingual Edition),Dante Alighieri/Robert Pinsky/Michael Mazur,464,9/1/1997,mul,4
345479459,Batman: Inferno,Alexander C. Irvine,339,10/31/2006,eng,3.63
195087445,Inferno (La Divina Commedia #1),Dante Alighieri/Ronald L. Martinez/Robert M. Durling/Robert Turner,672,3/6/1997,eng,4
253209307,Dante's Inferno,Dante Alighieri/Mark Musa,432,6/22/1995,eng,4
451203267,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule,548,6/1/2001,eng,4.14
60564784,The Kindness of Strangers,Katrina Kittle,400,1/2/2007,en-US,4.02
375724958,Stranger in the Forest: On Foot Across Borneo,Eric Hansen,288,11/14/2000,eng,4.1
1892597381,Strangers In Paradise  Pocket Book 5,Terry Moore,392,12/14/2005,eng,4.38
1590171942,The Strangers in the House,Georges Simenon/P.D. James/Geoffrey Sainsbury/David Watson,194,10/24/2006,eng,3.75
747569118,Wayside School Gets A Little Stranger (Wayside School  #3),Louis Sachar,176,4/1/2004,eng,4.19
425181111,Strangers,Dean Koontz,704,10/1/2002,eng,4
393321983,Strangers on a Train,Patricia Highsmith,256,8/28/2001,eng,3.78
068980444X,Come a Stranger (Tillerman Cycle  #5),Cynthia Voigt,256,11/1/1995,eng,3.89
307278581,Exile and the Kingdom,Albert Camus/Carol Cosman/Orhan Pamuk,166,2/13/2007,eng,3.89
141186585,A Happy Death,Albert Camus/Richard Howard/Jean Sarocchi,144,2/28/2002,eng,3.82
394708520,Lyrical and Critical Essays,Albert Camus/Ellen Conroy Kennedy/Philip Thody,365,9/12/1970,eng,4.27
2070360024,L'Étranger,Albert Camus,184,3/2/2000,fre,3.98
081912141X,Outsider,Albert Camus,110,1/1/1983,eng,3.98
039440520X,Caligula and Three Other Plays,Albert Camus,0,5/1/1966,fre,4.04
039470245X,The Possessed,Albert Camus/Justin O'Brien,190,3/12/1964,eng,3.83
2070386708,Caligula,Albert Camus/Pierre-Louis Rey/P. Morgan/E.T. Jones,224,9/1/1993,fre,4.08
1840460644,Introducing Camus,David Zane Mairowitz/Alain Korkos,176,1/3/1998,en-US,3.8
1569246661,Notebooks  1935-1951,Albert Camus/Philip Thody/Justin O'Brien,496,9/1/1998,eng,4.28
1411665309,Existential Meditation,Simon Cleveland,100,12/22/2005,eng,4.91
141185139,The Plague,Albert Camus/Robin Buss,238,12/5/2002,eng,3.98
2070322882,Le mythe de Sisyphe,Albert Camus,187,2/21/1985,fre,4.15
785123113,Marvel 1602,Neil Gaiman/Andy Kubert/Richard Isanove/Peter Sanderson/Todd Klein,248,8/2/2006,eng,3.94
1895176409,Galapagos: A Natural History,Michael H. Jackson,336,6/30/1994,eng,3.88
174104295X,Ecuador & the Galapagos Islands,Danny Palmerlee/Carolyn McCarthy/Michael Grosberg/Lonely Planet,440,8/1/2006,en-GB,3.89
2246371929,Galápagos,Kurt Vonnegut Jr.,282,6/1/1994,fre,3.88
573605734,Breakfast of Champions,Robert Egan/Kurt Vonnegut Jr.,106,4/7/2017,eng,4
1594160007,Seabiscuit: The Saga of a Great Champion,B.K. Beckwith/Howard Brodie/Grantland Rice,64,8/1/2004,eng,4.47
553582755,One Door Away from Heaven,Dean Koontz,681,10/29/2002,eng,3.97
970998716,Dark Rivers of the Heart / Sole Survivor / Intensity,Dean Koontz,700,10/25/2001,eng,4.41
345472454,The Amateur Marriage,Anne Tyler,342,1/31/2006,eng,3.62
8466307605,El matrimonio amateur,Anne Tyler/Gemma Rovira,459,11/1/2006,spa,3.62
451406281,Angel Christmas,Carole Nelson Douglas/Emma Merritt/Marilyn Campbell/Patricia Rice/Mary Balogh,384,11/1/1995,eng,3.49
747571775,Sideways Stories from Wayside School (Wayside School #1),Louis Sachar/Adam McCauley,144,1/19/2004,eng,4.15
312342519,Sideways,Rex Pickett,368,10/1/2004,eng,3.69
747569126,Sideways Arithmetic from Wayside School (Wayside School #2.5),Louis Sachar,96,5/1/2004,eng,3.88
1557046867,The Sideways Guide to Wine and Life,Alexander Payne/Jim     Taylor,64,5/25/2005,eng,4.38
747569134,More Sideways Arithmetic from Wayside School (Wayside School #2.6),Louis Sachar,112,9/1/1994,eng,3.92
1557046557,Sideways: The Shooting Script,Alexander Payne/Jim     Taylor,192,12/8/2004,eng,4.21
031213214X,White Man's Grave,Richard Dooling,400,3/15/1995,eng,3.94
60760257,Charms for the Easy Life,Kaye Gibbons,272,7/1/2005,eng,4.02
316168815,The Lovely Bones,Alice Sebold,328,4/20/2004,en-US,3.81
140500522X,Hour Game (Sean King & Michelle Maxwell  #2),David Baldacci,437,1/21/2005,eng,3.97
788759892,House of Sand and Fog,Andre Dubus III/Fontaine Dollas Dubus,15,1/1/1999,eng,3.85
345420748,While I Was Gone,Sue Miller,352,11/26/2002,eng,3.69
552771333,My War Gone by  I Miss It So,Anthony Loyd,336,11/7/2000,en-GB,4.29
074324382X,Will You Miss Me When I'm Gone? The Carter Family and Their Legacy in American Music,Mark Zwonitzer/Charles Hirshberg,432,2/23/2004,eng,4.28
1932855416,Bird Songs: Of North America,Les Beletsky/Jon L. Dunn,368,9/28/2006,eng,4.48
792253140,National Geographic Field Guide to the Birds of North America,National Geographic Society/Jon L. Dunn/Jonathan Alderfer,503,11/23/2006,eng,4.38
679776591,Fugitive Pieces,Anne Michaels,304,5/26/1998,eng,3.93
805077901,Theories of Relativity,Barbara Haworth-Attard,240,9/1/2005,eng,3.91
143039822,Relativity: The Special and the General Theory,Albert Einstein/Nigel Calder/Robert W. Lawson,130,7/25/2006,eng,4.18
131862618,Relativity: The Special and the General Theory: The Masterpiece Science Edition,Albert Einstein/Roger Penrose/Robert Geroch/David C. Cassidy,288,4/1/2005,en-US,4.18
60988657,Mirror Mirror,Gregory Maguire,280,10/1/2004,eng,3.28
425163407,Unnatural Exposure (Kay Scarpetta  #8),Patricia Cornwell,367,7/1/1998,eng,4.06
9685959757,Estado De Miedo,Michael Crichton,685,6/30/2005,spa,3.7
1569755833,Mugglenet.Com's What Will Happen in Harry Potter 7: Who Lives  Who Dies  Who Falls in Love and How Will the Adventure Finally End?,Ben Schoen/Andy Gordon/Gretchen Stull/Emerson Spartz/Jamie Lawrence,216,10/19/2006,en-GB,4.23
8478889930,Harry Potter y el misterio del príncipe (Harry Potter  #6),J.K. Rowling/Gemma Rovira Ortega,602,2/28/2006,spa,4.57
8478888845,Harry Potter y la Orden del Fénix (Harry Potter  #5),J.K. Rowling,893,2/21/2004,spa,4.49
972393617,Ultimate Unofficial Guide to the Mysteries of Harry Potter: Analysis of Books 1-4,Galadriel Waters/Astre Mithrandir,412,1/1/2003,en-US,4.05
1582348251,Harrius Potter et Philosophi Lapis,J.K. Rowling/Peter Needham,249,7/7/2003,lat,4.47
439064864,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,341,6/2/1999,eng,4.42
159990067X,Harrius Potter et Camera Secretorum,J.K. Rowling/Peter Needham,277,12/26/2006,lat,4.42
8423338665,La historia de la familia Roccamatio de Helsinki,Yann Martel/Bianca Southwood,91,1/1/2007,spa,3.48
1573227951,An Instance of the Fingerpost,Iain Pears,691,4/1/2000,eng,3.94
1573220825,An Instance of the Fingerpost,Iain Pears,691,3/16/1998,eng,3.94
613647904,Tears of the Giraffe (No. 1 Ladies' Detective Agency  #2),Alexander McCall Smith,256,9/3/2002,eng,3.96
375422994,Friends  Lovers  Chocolate (Isabel Dalhousie  #2),Alexander McCall Smith,261,9/20/2005,eng,3.62
375423001,The Right Attitude to Rain (Isabel Dalhousie  #3),Alexander McCall Smith,276,9/19/2006,eng,3.75
1400077095,The Sunday Philosophy Club (Isabel Dalhousie  #1),Alexander McCall Smith,272,7/12/2005,eng,3.36
1400095085,The Finer Points of Sausage Dogs (Portuguese Irregular Verbs  #2),Alexander McCall Smith,128,12/28/2004,eng,3.69
037570180X,Geisha: The Life  the Voices  the Art,Jodi Cobb/Ian Buruma,128,10/27/1998,eng,3.9
312982860,True Believers (Gregor Demarkian  #17),Jane Haddam,432,4/15/2002,eng,3.88
446698466,At First Sight (Jeremy Marsh & Lexie Darnell  #2),Nicholas Sparks,204,9/5/2006,eng,3.82
446696110,The Guardian,Nicholas Sparks,400,4/1/2005,eng,4.15
1561706604,Wokini: A Lakota Journey to Happiness and Self-Understanding,Billy Mills/Nicholas Sparks,175,6/1/2003,eng,3.57
553816713,The Notebook (The Notebook  #1),Nicholas Sparks,214,7/5/2004,eng,4.09
2266111108,À tout jamais,Nicholas Sparks,214,11/21/2002,fre,4.17
3453861906,Weg der Träume,Nicholas Sparks/Maja Ueberle-Pfaff,352,4/1/2003,ger,4.03
8496544141,Noches de tormenta,Nicholas Sparks/Isabel Margelí,190,6/1/2006,spa,3.84
446532436,True Believer,Nicholas Sparks,322,7/1/2009,en-US,3.8
1841150509,The Patron Saint of Liars,Ann Patchett,352,4/1/2003,eng,3.8
452265819,Because It Is Bitter  and Because It Is My Heart,Joyce Carol Oates,416,3/30/1991,eng,3.89
156030276,The Female of the Species: Tales of Mystery and Suspense,Joyce Carol Oates,275,1/15/2007,eng,3.62
60722290,The Falls,Joyce Carol Oates,512,8/2/2005,eng,3.58
880014407,The Assignation: Stories,Joyce Carol Oates,208,8/1/1996,eng,3.8
61236829,The Gravedigger's Daughter,Joyce Carol Oates,582,5/29/2007,eng,3.55
60934905,Middle Age: A Romance,Joyce Carol Oates,480,10/1/2002,eng,3.58
452269865,Black Water,Joyce Carol Oates,160,5/1/1993,eng,3.54
2253152854,Blonde,Joyce Carol Oates/Claude Seban,1110,4/30/2002,fre,3.99
151015317,The Museum of Dr. Moses: Tales of Mystery and Suspense,Joyce Carol Oates,229,8/6/2007,en-US,3.4
812968344,A Garden of Earthly Delights (Wonderland Quartet  #1),Joyce Carol Oates/Elaine Showalter,406,4/22/2003,eng,3.84
140424393,Paradise Lost,John Milton/John      Leonard,453,2/27/2003,eng,3.82
019280619X,Paradise Lost,John Milton/Philip Pullman,374,9/15/2005,eng,3.82
393924289,Paradise Lost,John Milton/Gordon Teskey,590,12/15/2004,eng,3.82
743474163,Paradise (Second Opportunities  #1),Judith McNaught,709,7/1/2003,eng,4.31
1400049474,Last Train to Paradise: Henry Flagler and the Spectacular Rise and Fall of the Railroad that Crossed an Ocean,Les Standiford,288,8/5/2003,eng,4.03
1841932515,Milton's Paradise Lost,John Milton/Gustave Doré,384,8/14/2008,eng,3.82
1425910394,The Trouble with the Pears: An Intimate Portrait of Erzsebet Bathory,Gia Bathory Al Babel,272,2/14/2006,eng,2.55
312155859,Mary Queen of Scotland and The Isles,Margaret George,870,4/15/1997,eng,4.05
142002887,When the Elephants Dance,Tess Uriza Holthe,368,6/24/2003,en-US,4.03
449004139,A Thread of Grace,Mary Doria Russell,442,12/6/2005,eng,4.02
375758623,The Piano Shop on the Left Bank: Discovering a Forgotten Passion in a Paris Atelier,Thad Carhart,281,3/12/2002,eng,3.95
375727132,The Dive From Clausen's Pier,Ann Packer,432,4/8/2003,eng,3.42
749933631,The Dive from Clausen's Pier,Ann Packer,368,3/27/2003,eng,3.42
701130644,A Dubious Codicil,Michael Wharton,224,3/15/1991,eng,3.25
743487672,The Awakening and Selected Stories,Kate Chopin/Cynthia Brantley Johnson/Alyssa  Harad,296,7/1/2004,eng,3.92
1931082219,Complete Novels and Stories,Kate Chopin/Sandra M. Gilbert,1075,9/30/2002,eng,4.28
1842931539,Beowulf & Grendel: The Truth Behind England's Oldest Legend,John Grigsby,246,10/10/2005,en-US,3.57
159307736X,Grendel: Devil by the Deed,Matt Wagner/Rich Rankin/Chris Pitzer/Diana Schutz,48,3/27/2007,eng,4.08
3453198255,Fuselfieber,David Sedaris/Harry Rowohlt,320,4/1/2002,ger,3.79
8497934903,Mi vida en rose,David Sedaris,240,11/15/2004,spa,3.99
226677184,A Dance to the Music of Time: 4th Movement (A Dance to the Music of Time  #10-12),Anthony Powell,793,5/31/1995,eng,4.22
1585677108,Anthony Powell: A Life,Michael   Barber,352,12/27/2005,eng,3.72
226677141,A Dance to the Music of Time: 1st Movement (A Dance to the Music of Time  #1-3),Anthony Powell,718,5/31/1995,eng,3.95
226677176,A Dance to the Music of Time: 3rd Movement (A Dance to the Music of Time  #7-9),Anthony Powell,715,5/31/1995,eng,4.26
226677168,A Dance to the Music of Time: 2nd Movement (A Dance to the Music of Time  #4-6),Anthony Powell,722,6/15/1995,eng,4.29
1400077303,Titan: The Life of John D. Rockefeller  Sr.,Ron Chernow,832,3/30/2004,eng,4.2
143034758,Alexander Hamilton,Ron Chernow,818,3/29/2005,eng,4.23
802138292,The House of Morgan: An American Banking Dynasty and the Rise of Modern Finance,Ron Chernow,812,9/20/2001,eng,4.07
345479394,Ego and Hubris: The Michael Malice Story,Harvey Pekar/Gary Dumm,160,4/11/2006,eng,3.67
802131794,Empire of the Senseless,Kathy Acker,240,1/13/1994,eng,3.49
802131557,Great Expectations,Kathy Acker,128,1/18/1994,eng,3.59
1400096197,Desert Queen: The Extraordinary Life of Gertrude Bell: Adventurer  Adviser to Kings  Ally of Lawrence of Arabia,Janet Wallach,464,7/12/2005,eng,3.92
60778563,Queen of the Scene,Queen Latifah/Frank Morrison,32,9/26/2006,en-US,4.06
60556579,The Red Queen: Sex and the Evolution of Human Nature,Matt Ridley,405,4/29/2003,eng,4.04
060980877X,The Sweet Potato Queens' Big-Ass Cookbook (and Financial Planner),Jill Conner Browne,288,1/7/2003,en-US,4.02
618683070,Dairy Queen (Dairy Queen  #1),Catherine Gilbert Murdock,275,5/22/2006,eng,3.74
60846739,Sex with the Queen: 900 Years of Vile Kings  Virile Lovers  and Passionate Politics,Eleanor Herman,336,4/11/2006,en-US,3.91
743272501,The Boleyn Inheritance (The Plantagenet and Tudor Novels  #10),Philippa Gregory,518,12/5/2006,eng,3.87
743272498,The Constant Princess (The Plantagenet and Tudor Novels  #6),Philippa Gregory,390,9/6/2006,eng,3.9
743249305,The Favored Child (The Wideacre Trilogy  #2),Philippa Gregory,624,7/2/2003,eng,3.62
743269268,The Virgin's Lover (The Plantagenet and Tudor Novels  #13),Philippa Gregory,441,9/7/2005,eng,3.71
743272536,Virgin Earth  (Tradescant  #2),Philippa Gregory,661,4/5/2006,en-US,3.62
6514642,The Wise Woman,Philippa Gregory,640,2/1/2002,eng,3.32
